Drug1,Drug2,Prob,Source,Method
DB00951,DB00268,0.6667,DrugBank,semEP
DB01577,DB01189,0.6667,DrugBank,semEP
DB09251,DB09288,0.6667,DrugBank,semEP
DB11638,DB13851,0.6667,DrugBank,semEP
DB13985,DB01200,0.6667,DrugBank,semEP
DB13346,DB00765,0.6667,DrugBank,semEP
DB01136,DB00636,0.6667,DrugBank,semEP
DB01255,DB06594,0.6667,DrugBank,semEP
DB00935,DB06711,0.6667,DrugBank,semEP
DB00715,DB01431,0.6667,DrugBank,semEP
DB11274,DB09201,0.6667,DrugBank,semEP
DB06707,DB06204,0.6667,DrugBank,semEP
DB09325,DB01593,0.6667,NCRD,semEP
DB00625,DB01183,0.6667,NCRD,semEP
DB01325,DB00524,0.6667,DrugBank,semEP
DB13074,DB09224,0.6667,CRD,semEP
DB00755,DB00523,0.6667,CRD,semEP
DB00715,DB08827,0.6667,CRD,semEP
