Drug1,Drug2,Prob,Method
DB06756,C0027794,0.1617,GIP
DB01006,C0546956,0.1616,GIP
DB00230,C0041834,0.1616,GIP
DB01213,C0027430,0.1616,GIP
DB01088,C0018916,0.1615,GIP
DB00735,C0338480,0.1611,GIP
DB00190,C0151529,0.1611,GIP
DB00789,C0027794,0.161,GIP
DB00367,C0151529,0.1609,GIP
DB00369,C0017086,0.1605,GIP
DB00612,C1442903,0.1603,GIP
DB01036,C0015967,0.1602,GIP
DB01586,C2225524,0.1602,GIP
DB00804,C0027343,0.1601,GIP
DB00669,C0947912,0.16,GIP
DB00738,C0587246,0.16,GIP
DB00661,C0002792,0.1599,GIP
DB00963,C0003962,0.1599,GIP
DB01216,C0162627,0.1598,GIP
DB01247,C0009088,0.1598,GIP
DB00264,C0034212,0.1596,GIP
DB00419,C0010520,0.1596,GIP
DB00227,C0018916,0.1595,GIP
DB00395,C0010200,0.1592,GIP
DB00963,C0151529,0.1592,GIP
DB06698,C0268621,0.1591,GIP
DB00373,C0034194,0.159,GIP
DB00633,C0025312,0.159,GIP
DB00244,C1442903,0.1589,GIP
DB01011,C0026987,0.1588,GIP
DB00125,C1442903,0.1588,GIP
DB01012,C0025312,0.1588,GIP
DB00594,C0947912,0.1585,GIP
DB01233,C0018916,0.1585,GIP
DB08964,C2711227,0.1584,GIP
DB00313,C0026827,0.1583,GIP
DB00746,C0338480,0.1583,GIP
