Drug1,Drug2,Prob,Method
DB06151,C0026826,0.3616,LapRLS
DB01008,C0033975,0.3616,LapRLS
DB06261,C0000731,0.3615,LapRLS
DB11180,C0036572,0.3613,LapRLS
DB06151,C0151798,0.3611,LapRLS
DB01019,C0009676,0.3606,LapRLS
DB00828,C0018965,0.3605,LapRLS
DB06698,C0030305,0.3603,LapRLS
DB00431,C2830004,0.3602,LapRLS
DB00727,C0026826,0.3601,LapRLS
DB01189,C0031154,0.3597,LapRLS
DB06261,C0040264,0.3596,LapRLS
DB00859,C0030554,0.3591,LapRLS
DB00130,C0080274,0.3588,LapRLS
DB00753,C0020651,0.3585,LapRLS
DB01236,C0023530,0.3584,LapRLS
DB00316,C0011849,0.3584,LapRLS
DB00597,C0037274,0.3579,LapRLS
DB11180,C0038358,0.3577,LapRLS
DB01008,C0014457,0.3572,LapRLS
DB01236,C0017181,0.3572,LapRLS
DB00720,C0575081,0.35700000000000004,LapRLS
DB01043,C0423791,0.3566,LapRLS
DB01008,C0080274,0.3566,LapRLS
DB00130,C0020456,0.3565,LapRLS
DB00478,C0020456,0.3564,LapRLS
DB00478,C0015967,0.3562,LapRLS
DB11180,C0575081,0.35600000000000004,LapRLS
DB00753,C0575081,0.3557,LapRLS
DB01236,C0003864,0.3554,LapRLS
DB00859,C0423791,0.3553,LapRLS
DB00597,C0232462,0.3551,LapRLS
DB06698,C0575081,0.3551,LapRLS
DB00316,C3665386,0.3551,LapRLS
DB01236,C0011606,0.355,LapRLS
DB01236,C0085631,0.3541,LapRLS
DB00720,C0002418,0.3539,LapRLS
DB06698,C0041657,0.3537,LapRLS
DB00828,C0003864,0.3537,LapRLS
DB06151,C0034065,0.3536,LapRLS
DB00431,C0030252,0.3536,LapRLS
DB00431,C0011168,0.3536,LapRLS
DB06151,C0030554,0.3533,LapRLS
DB04572,C0011168,0.3528,LapRLS
DB00753,C0043094,0.3527,LapRLS
DB00431,C0015967,0.3526,LapRLS
DB00659,C0575081,0.3526,LapRLS
DB00583,C0013604,0.3524,LapRLS
DB06151,C0015967,0.3521,LapRLS
DB00130,C0085631,0.3513,LapRLS
DB06151,C0018965,0.3512,LapRLS
DB00125,C0020456,0.3511,LapRLS
DB01236,C0011168,0.3511,LapRLS
DB01008,C2830004,0.3511,LapRLS
DB04572,C0037274,0.3511,LapRLS
DB06698,C0002418,0.35100000000000003,LapRLS
DB01213,C0546817,0.3509,LapRLS
DB00316,C0009676,0.3508,LapRLS
DB01236,C0085649,0.3508,LapRLS
DB00597,C0020651,0.3498,LapRLS
DB00727,C0043094,0.3494,LapRLS
DB00316,C0020651,0.3493,LapRLS
DB01236,C0040822,0.349,LapRLS
DB00727,C0018790,0.3487,LapRLS
DB00828,C0039070,0.3486,LapRLS
DB00720,C0043094,0.3486,LapRLS
DB06261,C0030252,0.3485,LapRLS
DB00720,C0009319,0.3482,LapRLS
DB01019,C0423791,0.3481,LapRLS
DB00727,C3665386,0.348,LapRLS
DB06261,C0040822,0.3472,LapRLS
DB00720,C0024282,0.34700000000000003,LapRLS
DB01019,C0004604,0.34700000000000003,LapRLS
DB00753,C0004134,0.3468,LapRLS
